"id";"name";"reg_number";"start_date";"email";"phone";"website";"address";"type";"city";"lat";"lng";"is_active";"datetime";"hashed";"country_id";"municipality_id";"user_id"
133;"JV Heavy Duty Service Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-29 00:46:28.902372";"9fc3d7152ba9336a670e36d0ed79bc43";1;1;1
134;"Manufahi Ki'ik Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-29 00:50:30.105351";"02522a2b2726fb0a03bb19f2d8d9524d";1;1;1
135;"Davinci Construction Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-30 04:31:42.599562";"7f1de29e6da19d22b51c68001e7e0e54";1;1;1
136;"Regules Jeje Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-30 04:49:34.181733";"42a0e188f5033bc65bf8d78622277c4e";1;1;1
137;"Roman Grigio Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-04-01 08:27:07.144598";"3988c7f88ebcb58c6ce932b957b6f332";1;1;1
138;"Dira Nova Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-04-01 08:43:18.181293";"013d407166ec4fa56eb1e1f8cbe183b9";1;0;0
139;"Egana Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-04-01 09:19:35.580372";"e00da03b685a0dd18fb6a08af0923de0";1;1;1
140;"Jomarjo Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-04-01 09:40:57.895462";"1385974ed5904a438616ff7bdb3f7439";1;1;1
141;"PT. Duta Graha";"";"";"";"";"";"";"";"";"";"";1;"2023-04-25 16:48:50.807879";"0f28b5d49b3020afeecd95b4009adf4c";1;1;1
142;"Suai Indah Const Lda";"";"";"";"";"";"";"";"";"";"";1;"2023-04-25 16:49:08.478548";"a8baa56554f96369ab93e4f3bb068c22";1;1;1
143;"ENSUL ENGENHARIA S.A.";"";"";"";"";"";"";"";"";"";"";1;"2023-04-25 16:49:21.550475";"903ce9225fca3e988c2af215d4e544d3";1;1;1
144;"KATAHIRA & ENGINEERS INTERNATIONAL";"";"";"";"";"";"";"";"";"";"";1;"2023-04-25 16:49:34.968185";"0a09c8844ba8f0936c20bd791130d6b6";1;1;1
145;"Aldepo Murak Unip,Lda";"";"";"";"";"";"";"";"";"";"";1;"2023-04-25 16:49:58.797372";"2b24d495052a8ce66358eb576b8912c8";1;1;1
146;"Cadila Supplie Unip,Lda";"";"";"";"";"";"";"";"";"";"";1;"2023-04-25 16:50:18.563306";"a5e00132373a7031000fd987a3c9f87b";1;1;1
147;"Camlai Unip,Lda";"";"";"";"";"";"";"";"";"";"";1;"2023-04-25 16:50:33.284359";"8d5e957f297893487bd98fa830fa6413";1;1;1
148;"Inaziju";"";"";"";"";"";"";"";"";"";"";1;"2023-04-25 16:50:42.765682";"47d1e990583c9c67424d369f3414728e";1;1;1
